,compound_emoji
0,0.0
1,0.41050000000000003
2,0.6116666666666667
3,0.412
4,0.0
5,0.0
6,0.0
7,0.41050000000000003
8,0.6116666666666667
9,0.412
10,0.0
11,0.0
12,0.11766666666666666
13,0.0
14,0.24866666666666667
15,0.0
16,0.05
17,0.61
18,0.713
19,0.0
20,0.742
21,0.246
22,0.0
23,0.0
24,0.1335
25,0.7056666666666667
26,0.0
27,0.242
28,0.0
29,0.0
30,0.0
31,0.36933333333333335
32,0.14
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.633
41,0.633
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.1145
49,0.0
50,0.0
51,0.525
52,0.737
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,-0.012499999999999997
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,-0.012499999999999997
65,0.0
66,-0.0465
67,0.353
68,0.246
69,0.353
70,0.0
71,0.063
72,0.4375
73,0.3415
74,0.43100000000000005
75,0.3545
76,0.2623333333333333
77,0.3415
78,0.0
79,0.0
80,-0.07866666666666666
81,0.0
82,0.0
83,0.4573333333333333
84,0.353
85,0.0
86,0.331
87,0.672
88,0.0
89,0.0
90,0.19
91,0.0
92,0.0
93,0.0
94,0.368
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.265
108,0.0
109,0.268
110,0.0
111,0.625
112,0.0
113,0.265
114,0.0
115,0.268
116,0.0
117,0.625
118,0.0
119,0.2215
120,0.241
121,0.0
122,0.10099999999999999
123,0.2215
124,0.1515
125,0.221
126,0.0
127,0.2563333333333333
128,0.104
129,0.0
130,0.04666666666666667
131,0.133
132,0.0
133,0.0
134,0.221
135,0.0
136,0.221
137,0.274
138,0.332
139,0.234
140,0.0315
141,0.634
142,0.537
143,0.456
144,0.746
145,0.3355
146,0.0
147,0.4176666666666667
148,0.228
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,-0.146
157,0.0
158,-0.086
159,0.0
160,0.746
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.645
176,0.221
177,0.0
178,0.0
179,0.266
180,0.0
181,0.0
182,0.087
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.16433333333333333
193,0.0
194,0.0
195,0.0
196,0.493
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.08933333333333333
212,0.0
213,0.0
214,-0.093
215,0.353
216,0.0
217,0.0
218,-0.093
219,-0.093
220,0.353
221,0.353
222,0.0
223,0.0
224,-0.093
225,-0.093
226,0.353
227,0.746
228,0.746
229,0.4563333333333333
230,0.20550000000000002
231,0.746
232,0.393
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.353
261,0.0
262,0.0
263,0.0
264,0.0
265,0.14
266,0.0
267,0.0
268,0.0
269,0.353
270,0.0
271,0.0
272,-0.093
273,-0.093
274,0.353
275,0.353
276,0.0
277,0.0
278,-0.093
279,-0.093
280,0.353
281,0.746
282,0.746
283,0.4563333333333333
284,0.20550000000000002
285,0.746
286,0.393
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.353
315,0.0
316,0.0
317,0.0
318,0.0
319,0.14
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.221
336,0.221
337,0.221
338,0.221
339,0.221
340,0.063
341,0.493
342,0.332
343,0.018
344,0.221
345,0.493
346,0.19
347,0.221
348,0.063
349,0.221
350,0.221
351,0.221
352,0.0
353,0.746
354,0.353
355,0.353
356,0.1765
357,0.0
358,0.317
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,-0.667
371,0.0
372,0.0
373,0.0
374,0.1665
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.221
390,0.221
391,0.221
392,0.221
393,0.221
394,0.063
395,0.493
396,0.332
397,0.018
398,0.221
399,0.493
400,0.19
401,0.221
402,0.063
403,0.221
404,0.221
405,0.221
406,0.0
407,0.746
408,0.353
409,0.353
410,0.1765
411,0.0
412,0.317
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,-0.667
425,0.0
426,0.0
427,0.0
428,0.1665
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.221
444,0.221
445,0.221
446,0.221
447,0.221
448,0.063
449,0.493
450,0.332
451,0.018
452,0.221
453,0.493
454,0.19
455,0.221
456,0.063
457,0.221
458,0.221
459,0.221
460,0.0
461,0.746
462,0.353
463,0.353
464,0.1765
465,0.0
466,0.317
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,-0.667
479,0.0
480,0.0
481,0.0
482,0.1665
483,0.0
484,0.0
485,-0.146
486,0.0
487,-0.093
488,0.221
489,0.0
490,0.0
491,-0.146
492,0.0
493,-0.093
494,0.221
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.123
503,0.0
504,0.0
505,0.0
506,0.0
507,0.493
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0895
516,0.179
517,0.0
518,0.0
519,0.2625
520,0.0
521,0.612
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0972
529,0.0
530,0.0
531,0.2465
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.645
553,0.221
554,0.0
555,0.0
556,0.266
557,0.0
558,0.0
559,0.087
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.16433333333333333
570,0.0
