,compound
0,0.0
1,0.0
2,0.7184
3,0.4767
4,0.0
5,0.0
6,0.0
7,0.0
8,0.7184
9,0.4767
10,0.0
11,0.0
12,0.0
13,0.0
14,0.8402
15,0.0
16,0.0
17,0.8885
18,0.6369
19,0.0
20,0.0
21,0.0
22,0.6486
23,0.0
24,0.0
25,0.3612
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.8126
32,-0.34
33,0.3612
34,0.25
35,-0.1531
36,0.0
37,0.4588
38,0.6486
39,0.765
40,0.6369
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.4215
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.5574
67,0.0
68,0.0
69,0.6369
70,0.5574
71,0.3182
72,0.0
73,0.0
74,0.0
75,0.3612
76,0.4767
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.4404
83,-0.2732
84,0.0
85,0.0
86,-0.2732
87,0.4019
88,-0.2732
89,0.0
90,-0.7096
91,0.7351
92,0.0
93,0.0
94,0.0
95,-0.5423
96,0.0
97,0.3612
98,0.0772
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.3612
107,0.0
108,0.0
109,0.6705
110,0.4939
111,0.0
112,0.6369
113,0.0
114,0.0
115,0.6705
116,0.4939
117,0.0
118,0.6369
119,-0.34
120,0.0
121,0.3612
122,0.0
123,-0.34
124,0.0
125,0.5859
126,0.0
127,0.4939
128,0.6908
129,0.7579
130,-0.34
131,0.0
132,0.0
133,0.0
134,-0.34
135,0.0
136,0.5859
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.836
143,0.0
144,0.0
145,0.9565
146,0.0
147,0.0
148,0.4215
149,0.4939
150,0.4939
151,0.6369
152,0.0
153,0.5859
154,0.4019
155,0.0
156,-0.3612
157,-0.5267
158,0.0
159,0.0
160,0.3612
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.4767
174,0.7351
175,0.6124
176,0.5859
177,0.0
178,0.5106
179,0.0
180,0.0
181,0.0
182,0.0
183,0.3818
184,0.0
185,0.0
186,0.0
187,0.0
188,-0.1531
189,0.0
190,0.5106
191,0.0
192,0.6908
193,-0.5574
194,0.0
195,0.0
196,0.3612
197,0.8316
198,0.0
199,0.0
200,0.3612
201,0.128
202,0.0
203,0.0
204,0.0
205,0.5574
206,0.296
207,0.3724
208,0.6808
209,0.0
210,0.0
211,0.3612
212,0.6369
213,0.4939
214,0.0
215,0.7906
216,0.4215
217,0.5574
218,0.3612
219,0.0
220,0.0
221,0.7906
222,0.4215
223,0.5574
224,0.3612
225,0.0
226,0.0
227,0.0
228,0.8402
229,-0.7096
230,-0.6486
231,0.0
232,0.4215
233,0.5994
234,0.4939
235,0.0
236,0.0
237,0.0
238,0.0
239,0.4215
240,0.0
241,0.0
242,-0.1027
243,0.5773
244,0.0
245,-0.1531
246,0.0
247,0.0
248,0.4404
249,0.0
250,0.0
251,0.0
252,-0.34
253,0.0
254,0.0
255,-0.4767
256,0.0
257,0.0
258,0.0
259,0.4019
260,0.0
261,0.0
262,-0.25
263,-0.5267
264,0.0
265,-0.34
266,0.0
267,0.0
268,0.0
269,0.7906
270,0.4215
271,0.5574
272,0.3612
273,0.0
274,0.0
275,0.7906
276,0.4215
277,0.5574
278,0.3612
279,0.0
280,0.0
281,0.0
282,0.8402
283,-0.7096
284,-0.6486
285,0.0
286,0.4215
287,0.5994
288,0.4939
289,0.0
290,0.0
291,0.0
292,0.0
293,0.4215
294,0.0
295,0.0
296,-0.1027
297,0.5773
298,0.0
299,-0.1531
300,0.0
301,0.0
302,0.4404
303,0.0
304,0.0
305,0.0
306,-0.34
307,0.0
308,0.0
309,-0.4767
310,0.0
311,0.0
312,0.0
313,0.4019
314,0.0
315,0.0
316,-0.25
317,-0.5267
318,0.0
319,-0.34
320,0.0
321,0.0
322,0.0
323,0.0
324,0.6369
325,0.0
326,0.0
327,0.0
328,-0.5423
329,0.0
330,0.6369
331,0.0
332,0.0
333,0.0
334,-0.5423
335,0.5859
336,0.7506
337,0.7506
338,0.5859
339,0.6705
340,0.4588
341,0.3612
342,0.0
343,0.0
344,0.9325
345,0.6597
346,-0.8625
347,0.8225
348,0.4588
349,0.5859
350,0.5859
351,0.5859
352,0.0
353,0.296
354,0.0
355,0.5574
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,-0.3182
365,0.0
366,0.5106
367,0.0
368,0.0
369,0.0
370,0.3724
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.6369
379,0.0
380,0.0
381,0.0
382,-0.5423
383,0.0
384,0.6369
385,0.0
386,0.0
387,0.0
388,-0.5423
389,0.5859
390,0.7506
391,0.7506
392,0.5859
393,0.6705
394,0.4588
395,0.3612
396,0.0
397,0.0
398,0.9325
399,0.6597
400,-0.8625
401,0.8225
402,0.4588
403,0.5859
404,0.5859
405,0.5859
406,0.0
407,0.296
408,0.0
409,0.5574
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,-0.3182
419,0.0
420,0.5106
421,0.0
422,0.0
423,0.0
424,0.3724
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.6369
433,0.0
434,0.0
435,0.0
436,-0.5423
437,0.0
438,0.6369
439,0.0
440,0.0
441,0.0
442,-0.5423
443,0.5859
444,0.7506
445,0.7506
446,0.5859
447,0.6705
448,0.4588
449,0.3612
450,0.0
451,0.0
452,0.9325
453,0.6597
454,-0.8625
455,0.8225
456,0.4588
457,0.5859
458,0.5859
459,0.5859
460,0.0
461,0.296
462,0.0
463,0.5574
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,-0.3182
473,0.0
474,0.5106
475,0.0
476,0.0
477,0.0
478,0.3724
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,-0.1531
487,0.0
488,0.9081
489,-0.7506
490,0.0
491,0.0
492,-0.1531
493,0.0
494,0.9081
495,-0.7506
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,-0.2732
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.3612
508,0.3612
509,0.4939
510,0.0
511,0.0
512,0.4215
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.7579
519,0.0
520,0.0
521,0.0
522,0.6369
523,0.0
524,0.0
525,0.0
526,0.0
527,0.296
528,0.0
529,0.2023
