,compound
0,0.0
1,-0.4588
2,0.7845
3,0.3612
4,0.0
5,0.0
6,0.0
7,-0.4588
8,0.7845
9,0.3612
10,0.0
11,0.0
12,0.3182
13,0.0
14,0.8516
15,0.6103
16,0.0
17,0.8807
18,0.6369
19,0.0
20,-0.1531
21,0.0
22,0.6486
23,0.0
24,0.0
25,0.5972
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.8126
32,-0.34
33,0.4215
34,0.4019
35,-0.1531
36,0.0
37,0.5962
38,0.7426
39,0.7351
40,0.7249
41,0.3818
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.4215
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,-0.4404
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,-0.4404
65,0.0
66,0.0258
67,0.5574
68,0.0
69,0.8439
70,0.4939
71,0.3182
72,0.0
73,0.0
74,0.0
75,0.5093
76,0.4714
77,0.0
78,0.34
79,0.0
80,-0.8519
81,0.0
82,0.4404
83,0.1779
84,0.3182
85,0.0
86,0.0
87,-0.1511
88,0.2942
89,0.0
90,-0.7003
91,0.4588
92,0.0
93,0.0
94,0.34
95,-0.5423
96,0.0
97,0.4588
98,0.0
99,0.0
100,0.0
101,-0.3867
102,0.0
103,0.0
104,0.4753
105,0.0
106,0.4199
107,0.0
108,0.0
109,0.7184
110,0.0
111,0.0
112,0.5267
113,0.0
114,0.0
115,0.7184
116,0.0
117,0.0
118,0.5267
119,-0.34
120,0.0
121,0.1531
122,-0.4588
123,-0.34
124,0.0
125,0.6808
126,0.0
127,0.6705
128,0.7351
129,0.8402
130,-0.34
131,0.0
132,0.0
133,0.0
134,-0.7351
135,0.4404
136,0.4404
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.8519
143,0.0
144,0.0
145,0.9428
146,0.0
147,0.0
148,0.4215
149,0.0
150,0.0
151,0.69
152,0.0
153,0.8356
154,0.5081
155,0.0772
156,-0.0243
157,-0.5267
158,-0.4939
159,0.0
160,0.3612
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.5994
174,0.7712
175,0.7184
176,0.4404
177,0.0
178,-0.2411
179,0.0
180,0.0
181,0.0
182,0.0
183,0.3818
184,0.0
185,0.0
186,0.0
187,0.0
188,-0.1531
189,0.0
190,0.5106
191,0.0
192,0.7351
193,-0.5574
194,0.0
195,0.0
196,0.4588
197,0.9186
198,0.3612
199,0.3612
200,0.6124
201,0.4033
202,0.3612
203,0.0
204,-0.4767
205,0.3182
206,0.25
207,0.3724
208,0.4802
209,0.0
210,0.7081
211,0.4588
212,0.6908
213,0.4939
214,-0.4767
215,0.8519
216,0.4215
217,0.4939
218,0.2247
219,-0.4767
220,0.3182
221,0.8519
222,0.4215
223,0.4939
224,0.2247
225,-0.4767
226,0.3182
227,0.0
228,0.8402
229,-0.2263
230,-0.8271
231,0.0
232,0.4215
233,0.5574
234,0.4939
235,0.0
236,0.0
237,0.0
238,0.4019
239,0.4215
240,0.0
241,0.0
242,-0.1027
243,0.5773
244,0.0
245,-0.0772
246,0.4588
247,0.0
248,0.765
249,0.0
250,-0.296
251,0.0
252,-0.296
253,0.2912
254,0.0
255,-0.4767
256,0.0
257,0.0772
258,0.0772
259,0.4019
260,0.3182
261,0.0
262,-0.25
263,-0.4019
264,-0.296
265,-0.34
266,0.0
267,0.0
268,0.0
269,0.8519
270,0.4215
271,0.4939
272,0.2247
273,-0.4767
274,0.3182
275,0.8519
276,0.4215
277,0.4939
278,0.2247
279,-0.4767
280,0.3182
281,0.0
282,0.8402
283,-0.2263
284,-0.8271
285,0.0
286,0.4215
287,0.5574
288,0.4939
289,0.0
290,0.0
291,0.0
292,0.4019
293,0.4215
294,0.0
295,0.0
296,-0.1027
297,0.5773
298,0.0
299,-0.0772
300,0.4588
301,0.0
302,0.765
303,0.0
304,-0.296
305,0.0
306,-0.296
307,0.2912
308,0.0
309,-0.4767
310,0.0
311,0.0772
312,0.0772
313,0.4019
314,0.3182
315,0.0
316,-0.25
317,-0.4019
318,-0.296
319,-0.34
320,0.0
321,0.0
322,0.0
323,-0.4939
324,0.6369
325,0.0
326,0.0
327,0.0
328,-0.5423
329,-0.4939
330,0.6369
331,0.0
332,0.0
333,0.0
334,-0.5423
335,0.7003
336,0.6908
337,0.6908
338,0.7003
339,0.4404
340,0.7096
341,0.7559
342,0.4927
343,0.0
344,0.9042
345,0.7345
346,-0.8625
347,0.7717
348,0.4574
349,0.4404
350,0.4404
351,0.4404
352,0.0
353,0.5719
354,0.3182
355,0.7345
356,0.3182
357,0.0
358,0.0
359,-0.5423
360,0.0
361,0.0
362,0.0
363,0.0
364,-0.3182
365,0.4939
366,0.5562
367,0.0
368,0.0
369,0.0
370,0.1999
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,-0.4939
378,0.6369
379,0.0
380,0.0
381,0.0
382,-0.5423
383,-0.4939
384,0.6369
385,0.0
386,0.0
387,0.0
388,-0.5423
389,0.7003
390,0.6908
391,0.6908
392,0.7003
393,0.4404
394,0.7096
395,0.7559
396,0.4927
397,0.0
398,0.9042
399,0.7345
400,-0.8625
401,0.7717
402,0.4574
403,0.4404
404,0.4404
405,0.4404
406,0.0
407,0.5719
408,0.3182
409,0.7345
410,0.3182
411,0.0
412,0.0
413,-0.5423
414,0.0
415,0.0
416,0.0
417,0.0
418,-0.3182
419,0.4939
420,0.5562
421,0.0
422,0.0
423,0.0
424,0.1999
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,-0.4939
432,0.6369
