,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
0,,important --&gt; @JebBush suggests federal gov't not crucial to storm recovery http://t.co/pVsV6qoS #haction #2012 #sandy,danholler
1,True,@ChrisMara816: Screw #sandy we skipped right ahead to #christmas _Ã´Ã–Â‹_Ã´_Â‹_Ã´_Âƒ_Ã´_ÂŠ http://t.co/8QGz3Ond only you chris,kaatteexo
2,True,On The Learning Network Sandy as a Teaching Tool http://t.co/IvFTLGlt #parenting,LotsToLearn
3,True,More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,brunamacedo06
4,True,These Hurricane Sandy pages though,CameronXCV
5,,Romney cancelled his campaign stop in kettering for storm sandy! #IHadTickets :(,AlyssaDarkow
6,True,IMPRESIONANTE: Pensaba q era alguna pelÃ­_cula de Hollywood pero es una foto real del huracÃ­Ã§n #Sandy en Nueva York hoy ! http://t.co/zfy5ORHl,InaKills
7,,Absolutely incredible. Tomb of the Unknown Soldier continues to stay guarded throughout Hurricane Sandy. http://t.co/fewg8QNV,trashmoney28
8,True,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,GahrSEEuh
9,True,Espectacular timelapse del huracÃ­Ã§n #Sandy: http://t.co/l72eVxGn,EnPrimicia
10,,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,deluxekidd
11,True,NYers are tough as nails! RT @isardasorensen Rainbow over #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/GYy24Rm1,hellomodko
12,True,How are the rest of my #Sandy survivors???? Give me a holler if you can,hedwig2212
13,True,Is in NYC which is on transport and services lockdown shops closed streets deserted. Hurricane Sandy about to hit http://t.co/EOChJbDa,MytonAlps
14,True,Hurricane Sandy DoesnÃ¤Ã³Â»t Halt NYCÃ¤Ã³Â»s Dining Scene Many Restaurants Still Open & Delivering: http://t.co/1auXXcVv,IMColey
15,True,The wind is picking up... #Sandy,alicejane011
16,True,FuracÃ­Â£o Sandy promete tocar o putedo em Nova York. Ã¤Ã³Ã¬Vamos pularÃ¤Ã³Ã¬ desmente. JÃ­_nior,marciodolzan
17,,#mentionto Figure out this is the ruse!!! http://t.co/d71bnvO1,JessieBradshaw8
18,,MTA to provide free buses in NYC starting at 5 p.m. today http://t.co/01gf9TbV,SweetTeaNPearls
19,True,"Mak!? Skalian aja badai sandy di NYC jg gara2 John Terry! """"@VIVAbola: Ibunda Rio Ferdinand Sakit Gara-gara John Terry? http://t.co/kltx6mkM""""",pitutatitut
