,instruction,tweet_no_rt,type_of_message
0,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
1,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
2,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
3,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
4,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
5,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
6,"names a structure, road, service, line, etc. that is not working or has been damaged",More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8,"Informative: damage (building, road, lines, etc.)"
7,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
8,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
9,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
10,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
11,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
12,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
13,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
14,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
15,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
16,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
17,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
18,warns about a potential hazard or advices what to do,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Informative: caution or advice
19,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
20,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
21,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
22,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
23,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
24,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
25,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
26,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
27,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
28,indicates who has (or how many people have) been injured or dead,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq,Informative: casualties (people injured or dead)
29,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
30,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
31,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
32,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
33,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
34,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
35,"names a structure, road, service, line, etc. that is not working or has been damaged",Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW,"Informative: damage (building, road, lines, etc.)"
36,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
37,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
38,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
39,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
40,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
41,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
42,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
43,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
44,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
45,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
46,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
47,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
48,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
49,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
50,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
51,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
52,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
53,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
54,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
55,"names a structure, road, service, line, etc. that is not working or has been damaged",Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp,"Informative: damage (building, road, lines, etc.)"
56,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Please join us at http://t.co/ak3A5jPX in asking oil companies to shift their campaign donations to relief aid http://t.co/PhhAgo6p,"Informative: requests donations of money, goods, or free services"
57,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
58,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
59,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
60,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
61,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
62,indicates who has (or how many people have) been injured or dead,R.I.P to the 65 victims who lost their lives because of Hurricane Sandy. RT for respect.,Informative: casualties (people injured or dead)
