,choose_one,text_no_rt,user
0,Informative (Direct or Indirect),Cruuuuud. Tornado warning for Denton County. And the TV isn't working. And the Dallas news sites aren't helpful. Cruuuuud., 
1,Informative (Indirect),Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the suspected area., 
2,Informative (Direct or Indirect),Tornado on the ground in Azle headed right toward TMS, 
3,Informative (Indirect),US tornado toll rises to 122 (AFP) http://dlvr.it/StLMD, 
4,Informative (Indirect),US tornado toll rises to 122 (AFP) http://dlvr.it/StLMh, 
5,Informative (Direct),Tornado sirens. This is scary., 
6,Personal only,Sitting in shelter waiting to see if the tornado hits my house. #anxious #scared, 
7,Informative (Indirect),US: Joplin Mo. tornado had more than 1 vortex http://fxn.ws/k50jUl, 
8,Informative (Indirect),Tornado reported 2 miles west of Azle TX. This is to the northwest of Ft. Worth. Radar warning... h ..., 
9,Personal only,Whew that was close. A few broken windows but otherwise survived the tornado.  Now to pick up debris for the rest of the evening., 
10,Informative (Direct or Indirect),This is a serious situation for the DFW Metro. If you know anyone in the central to northern subs have them take c ..., 
11,Informative (Direct or Indirect),#Joplin stats: 124 people confirmed dead 750 treated at hospitals about 1500 still unaccounted for; approx 8000 stru ..., 
12,Informative (Indirect),Tornado Warning for Coal County in OK until 8:30pm CDT. #okwx, 
13,Informative (Indirect),Holy Hell... Before & after photo of the #Joplin tornado: http://bit.ly/iwqNmq - via @tamarlevine @andyfortson, 
14,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
15,Informative (Indirect),@hidama @ambersplace On Thursday we'll collect supplies 7a-7p at 23rd St Zarco. Water Food Toiletries and... http://bit.ly/mbWCzD #Joplin, 
16,Informative (Direct or Indirect),DENTON: Take shelter. Possible tornado just to the west of where I-35W and I-35E meet., 
17,Informative (Indirect),Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs, 
18,Informative (Indirect),About 1500 people unaccounted for in #joplin. many of those may be alive just can't reach loved ones. #ac360 10p, 
19,Informative (Direct),@facethewind_com Awesome tornado picture Dave. May we use it on msnbc.com?, 
20,Informative (Direct or Indirect),Platte County MO until a tornado watch until 3a.m., 
21,Personal only,Psalm 7:13  [God] hath also prepared for [the wicked] the instruments of death; he ordaineth his arrows against the persec ..., 
22,Informative (Indirect),Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the area., 
23,Informative (Direct or Indirect),Rice County has again been placed under a Severe Thunderstorm Warning until 8pm. Currently Barton County is under a Tornado Warning., 
24,Informative (Indirect),http://www.redcross.org/www-files/Documents/pdf/Preparedness/checklists/Tornado.pdf, 
25,Informative (Direct or Indirect),Tornado warning for N. Tarrant County TX (northern Fort Worth area).  Softball size hail possible too. Warning info: h ..., 
26,Informative (Direct or Indirect),Text REDCROSS to 90999 to help the victims of the Joplin tornado., 
27,Informative (Indirect),Speechless. RT:@slmandel If the tornado wreckage photos haven't gotten to you this before-and-after in Joplin will. http: ..., 
28,Informative (Direct or Indirect),#SAFETYALERT Folks in #Oklahoma #Kansas #Arkansas & #Missouri watch the @weatherchannel #TheWeatherChannel for #tornado dangers in your area, 
29,Informative (Direct or Indirect),"Rep. Long @auctnr1 on #FEMA response to #Joplin tornado: ""On a scale from 1 to 10 I'd put 'em at a 12.""", 
30,Informative (Indirect),After saying he'd withhold tornado relief funds National Weather Service upgraded Eric Cantor to a category-5 Asshole., 
31,Informative (Direct or Indirect),That artic Vs tornado I mentioned earlier... http://goo.gl/suVye  The driver is apparently OK - result., 
32,Informative (Direct or Indirect),Tornado warning now in Washington County and NE Osage County  OK...take shelter now. #okwx, 
33,Informative (Direct or Indirect),if you live in northern tarrant county stay alert. a tornado may be on the ground near azle. its moving east at 40mph., 
34,Informative (Indirect),RT @AP: BREAKING: Authorities say death toll from Joplin Mo. tornado now at 122; more than 750 people injured -CC, 
35,Informative (Direct or Indirect),5 dead and search going on for missing child after it was sucked from mother's arm as they huddled in bathroom. #OKwx, 
36,Informative (Indirect),Awful RT @cnnbrk #Tornado that killed 122 in Joplin Missouri was EF-5 with top winds of 200+ mph http://on.cnn.com/meJujw, 
37,Informative (Indirect),Kansas City Royals (Official Site) &gt;&gt; Heart to Heart KC helping tornado victims http://buzztap.com/-UUfY70, 
38,Informative (Indirect),SPC Tornado Watch 363 Status Reports http://dlvr.it/StNQS, 
39,Informative (Direct or Indirect),Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS, 
40,Personal only,June Advertising Special! 6 spots open and 100% of proceeds will go to help #Joplin Mo Tornado Victims. Please RT!  ht ..., 
41,Informative (Direct or Indirect),Birmingham tornado debris cleanup contracts go to 3 firms; mayor... http://bit.ly/kK5iLe #Birmingham #AL, 
42,Other,pray for the people  in Joplin Missouri. The tornado killed a lot of people, 
43,Informative (Direct or Indirect),Also a tornado warning for Wise and Denton Counties in Texas..., 
44,Informative (Indirect),JFC. RT @TWCBreaking: New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX, 
45,Informative (Direct or Indirect),Collin/Dallas  County need to be ready to take cover within the next 20-30 minutes. You need to be  ..., 
46,Informative (Indirect),BREAKING NEWS: From AP - at least 4 dead after tornado hit Oklahoma City area. Widespread Tornado Warnings remain in effect. #okwx #nc5, 
47,Personal only,Rangers game in a tornado? Perf. @mirandahuebner, 
48,Personal only,@JacksonRathbone I'm worried about you because of the tornado! take care dear!, 
49,Personal only,.man here dhey qo wit dis tornado shxt aqain.!, 
50,Informative (Direct or Indirect),Tornado Watch just issued for western and southwestern Missouri till 3AM. Does NOT include Columbia or Jeff City at thi ..., 
51,Personal only,Just watched the news. Am sorry for the people living in Missouri they're place became devastated after the tornado attack, 
52,Informative (Direct),Obama heading to tornado-slammed Missouri this weekend | OnyxBook, 
53,Informative (Indirect),@MarioLopezExtra Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin, 
54,Other,Muertes por tornado en Misuri se elevan a 122 http://bit.ly/iYx5hw #USA #EEUU, 
55,Informative (Direct or Indirect),Triage: Safety first then shout/move walking wounded to safe place  #1stAid4 #okwx #Joplin, 
56,Informative (Indirect),my friend near joplin is a ham radio operator and he was correct. #tornado, 
57,Informative (Direct),Tornado reported in Denton County Texas near I-35 W and FM 407. @Ambieno, 
58,Personal only,Any idea what KFOR is using for live streaming video from reporter's cars chasing the storms? #okwx, 
59,Informative (Direct or Indirect),@TheEllenShow Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin, 
60,Informative (Direct or Indirect),Insane tornado warning....? Cool. Let's hide., 
61,Informative (Indirect),Cantor/GOP say no aid 2 tornado victims!! really! R these the ppl U want 2 run our country?? http://bit.ly/jrZKNd #Joplin, 
62,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
63,Informative (Direct),Tornado sirens just went off in Tulsa.  http://twitpic.com/524dsf, 
64,Personal only,Sitting front and center at #StMichael city council tonight. Let's hope for a quieter night than 5-10-11 (two weeks ago) #tornado., 
65,Personal only,Only in Arkansas the ice-cream man would be still driving around neighborhoods when there's about to be a tornado!!  http://t.co/2TxXCJ0, 
66,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
67,Informative (Indirect),MSSU establishes fund for faculty staff and students impacted by tornado -... http://fb.me/GQiEYO0q, 
68,Other,No Kris we didn't cut the budget so @ericcantor cancelled it RT @KrisKetz 3am tornado watch Kansas City metro extends south to Joplin., 
69,Informative (Direct or Indirect),3am tornado watch Kansas City metro extends south to Joplin. #fb, 
70,Informative (Direct),Tornado sirens going off near DFW Airport!, 
71,Informative (Indirect),Don't forget 2 check Safe & Well site if U R still not able 2 connect with #Joplin https://safeandwell.communityos.o ..., 
72,Informative (Direct or Indirect),@mpike4 RT @LJWorld: Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms, 
73,Informative (Direct or Indirect),Another very dangerous storm possible #tornado just NE of Leon #Oklahoma. Seek shelter NE of this cell! #OKWX Follow 4 updates., 
74,Personal only,U no y I luv twitter? Ive met peeps all across the usa. Can my tweeps pray/have good thoughts for my girl @soonerleesa? Shes in tornado ally, 
75,Informative (Indirect),[Reuters US] Two dead from Oklahoma tornado: OKLAHOMA CITY (Reuters) - Two people died when a tornado struck El ... http://bit.ly/jhGE7r, 
76,Informative (Indirect),BREAKING - NWS says Joplin tornado was an EF-5 with wind speeds over 200 mph.  Death toll now at 122 with 750 hurt., 
77,Informative (Indirect),New Tornado watch just issued for Triangle and NE NC. #ncwx, 
78,Other,URGENTE: Reportes de tornado han tocado tierra cerca a Russett Oklahoma reporta The Weather Channel., 
79,Informative (Indirect),@Tyrese Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin, 
80,Informative (Direct or Indirect),There is a tornado headed right for us.... 8:05 ETA, 
81,Informative (Indirect),InfoMusic : Lauren Alaina's 'American Idol' Run Brightens Tornado-Weary Hometown http://dlvr.it/StK6t, 
82,Personal only,This dude on cnn is being interviewed about the tornado in a dominos pizza uniform, 
83,Informative (Indirect),DEVELOPING: RT @MyTexasWeather: AMATEUR RADIO REPORTS SEVERAL HOMES DAMAGED BY TORNADO IN SPRINGTOWN TX (Parker Co ..., 
84,Informative (Direct or Indirect),Deadly tornado kills 124 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 124 people aut..., 
85,Informative (Direct or Indirect),Tornado watch just issued for Joplin Mo, 
86,Personal only,#tornado victims USA is watching in horror with you., 
87,Informative (Indirect),Tornado in broken arrow http://ow.ly/1cQOkn, 
88,Informative (Indirect),Many Still Unaccounted for After Joplin Tornado http://p.ost.im/p/cmFcB, 
89,Informative (Direct or Indirect),St. John's Regional Medical Center employees please check in at 888-986-3729 they are wanting your status. #Joplin #fb, 
90,Personal only,And if a tornado comes Blas whatever you do save the espresso machine. - Bobby to the night shift http://tumblr.com/xsa2o7bt6p, 
91,Informative (Indirect),q2 @USAToday says the tornado in Joplin was one of the deadliest in history.  #agchat, 
92,Informative (Direct or Indirect),NEW Tornado Watch now includes western #MO incl #KC #Joplin #Springfield until 3am...greater concern for damaging wind i ..., 
93,Informative (Direct or Indirect),Tornado warning for Denton County until 8:15, 
94,Informative (Direct or Indirect),#Tornado Warning for Wise County. Storm moving east and will impact Denton county in the next 30 minutes.  #txwx, 
95,Personal only,Lurch thanks for all the tweets from Tornado Alley...#fail., 
96,Personal only,The tornado blew this bible verse in my back yard. Read the first line...that's disturbing.  http://twitpic.com/52435m, 
97,Other,wtf alerta de tornado no mams !!! Siguen sonando las alarmas bien intensas, 
98,Informative (Direct or Indirect),Deadly tornado kills 122 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 122 people aut..., 
99,Informative (Direct or Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407., 
100,Informative (Direct or Indirect),Tornado watch issued for the #Joplin area until 3AM local time. #mowx, 
101,Other,@fairhope71 - Fanks! Dat tornado is 1 Dat pops down & den going back up again., 
102,Informative (Direct or Indirect),Piedmont #Oklahoma with just devastating damage near Arrowhead RD and Richmond RD. Tornado path approx 35 miles 1/2 mile wide., 
103,Informative (Direct or Indirect),Tornado threat spreading into North Texas. Cooke Wise and Parker Counties under Tornado Warnings currently, 
104,Other,-- Red Cross says cash now primary need in Joplin: http://t.co/sd4cmL1 @semissourian #Joplin #tornado #disa ..., 
105,Personal only,Uploading video of Canton OK tornado shot from aprox 200yards away contact @kdrmedia if intrested, 
106,Personal only,@calebturmanATOR when isn't there a tornado warning... especially where I'm at., 
