,type_of_advice_or_caution,category,text_no_rt,type,user
0,A hurricane sighting has been reported,Informative (Direct or Indirect),Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Caution and advice,beball
1,Other,Informative (Direct or Indirect),Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,Caution and advice,britthanus
2,A hurricane sighting has been reported,Informative (Direct or Indirect),Omg NYC is now impacted by hurricane #Sandy,Caution and advice,BuniYani
3,Other,Informative (Direct or Indirect),First time since 1888 stock market closing for bad weather #Sandy,Caution and advice,feverplay_xo
4,A hurricane sighting has been reported,Informative (Direct or Indirect),Hurricane Sandy or else Frankestorm heading toward NYC http://t.co/OPLYDC2D,Caution and advice,LuciiAgudo
5,Other,Informative (Direct or Indirect),NYC closing bridges and tunnels at 7pm #Sandy,Caution and advice,MikeBeam
6,Other,Informative (Direct or Indirect),If you have water coming out of your faucet it is safe to drink. #Sandy,Caution and advice,nathancreitz
7,Other,Informative (Direct or Indirect),Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Caution and advice,RxResponse
8,Other,Informative (Direct or Indirect),.@NYGovCuomo orders closing of NYC bridges. Only Staten Island bridges unaffected at this time. Bridges must close by 7pm. #Sandy #NYC,Caution and advice,saraha64
9,A hurricane sighting has been reported,Informative (Direct or Indirect),looks like sandy has hit stourport!,Caution and advice,kathsandford
10,Other,Informative (Direct),"Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy",Caution and advice,celestemc
11,Other,Informative (Direct),If your lights go out in Toronto it will take a couple hours to a couple of days to restore. #Sandy,Caution and advice,commoncentsmom
12,A shelter is open or available,Informative (Direct),#Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),Caution and advice,cubedreamer
13,A hurricane warning has been issued or has been lifted,Informative (Direct),Remain in your homes while the storm is in progress. Stay away from windows: http://t.co/KQp2f2vX #Sandy #NYC,Caution and advice,JahEmpress
14,Other,Informative (Direct),Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,Caution and advice,jimmbboe
15,Other,Informative (Direct),@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x empty streets in the concrete jungle!,Caution and advice,luisdessommes
16,Other,Informative (Direct),NYCÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»ers w/phone network overload or no Internet can text QÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»s to 311692 for info or help. #Sandy Please RT,Caution and advice,markustedeschii
17,A hurricane sighting has been reported,Informative (Direct),Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Caution and advice,MattJohnstonTV
18,Other,Informative (Direct),Driving in this is no joke this _ÃƒÆ’Ã‚Â´Ãƒâ€šÃ‚Â»Ãƒâ€šÃ¢â‚¬Â  #Sandy,Caution and advice,mocha_93
19,A hurricane sighting has been reported,Informative (Direct),We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... http://t.co/v8SGOHpT,Caution and advice,NewBuffaloInn
20,Other,Informative (Direct),New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,Caution and advice,NewDramatists
21,A hurricane sighting has been reported,Informative (Direct),wind and rain are starting up... SANDY'S COMIN,Caution and advice,nicholatrinh
22,A hurricane sighting has been reported,Informative (Direct),The wind's really picking up out there ... #sandy #nyc http://t.co/OJaeiNB9,Caution and advice,philcloh2o
23,A hurricane sighting has been reported,Informative (Direct),Now we gotta a damn high wind thanks to that bitch Sandy,Caution and advice,SoLowKey1
24,A hurricane warning has been issued or has been lifted,Informative (Direct),How to Find the Hurricane Sandy Shelter Closest to You http://t.co/QabOr5a1,Caution and advice,SoulNav
25,A hurricane sighting has been reported,Informative (Direct),Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Caution and advice,SuSohn
26,Other,Informative (Direct),Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Caution and advice,timmyodea
27,A hurricane sighting has been reported,Informative (Direct),And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,Caution and advice,vickyXlee
28,A hurricane sighting has been reported,Informative (Direct),The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,Caution and advice,wyattgallery
29,A hurricane warning has been issued or has been lifted,Informative (Indirect),President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. http://t.co/tf7VoWGI,Caution and advice,_LetsFlyAway_
30,Other,Informative (Indirect),NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... http://t.co/OqAnDoHf,Caution and advice,1sthealthnews
31,Other,Informative (Indirect),Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/aPChWvbb,Caution and advice,abc_coza
32,A hurricane warning has been issued or has been lifted,Informative (Indirect),NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage. http://t.co/lxWv1Fhz - NBC4,Caution and advice,AboveAverageA
33,A hurricane sighting has been reported,Informative (Indirect),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Caution and advice,adri16
34,A hurricane warning has been issued or has been lifted,Informative (Indirect),The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,alj770
35,A hurricane sighting has been reported,Informative (Indirect),#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,annemaccat
36,Other,Informative (Indirect),NYC Mayor Michael Bloomberg to hold press conference on #Sandy momentarily. Watch Live: http://t.co/8fIXrOiY,Caution and advice,asrulsidiq
37,Other,Informative (Indirect),NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,biasia
38,A hurricane warning has been issued or has been lifted,Informative (Indirect),'SET YOUR WATCHES FOR 8 P.M:' That's when #Sandy will unleash furious waves on New York City http://t.co/soE3zq3s,Caution and advice,BiscardiA
39,Other,Informative (Indirect),WireUpdate U.S. stock markets to reopen Wednesday after Sandy kills 43: NEW YORK CITY (BNO NEWS) -- Major stock ... http://t.co/1QJ8VCRv,Caution and advice,bnogr
40,A hurricane warning has been issued or has been lifted,Informative (Indirect),Hurricane Sandy expected to make landfall along or just south of southern NJ coast by early evening - @NHC_Atlantic http://t.co/S4Otj1kk,Caution and advice,breakingstorm
41,Other,Informative (Indirect),In advance of the arrival of Hurricane Sandy please prepared to keep an eye out for storm drains whose tops are... http://t.co/8ro4trG5,Caution and advice,BTVDPW
42,Other,Informative (Indirect),Mayor Bloomberg live NYC #sandy update here now: http://t.co/84uM94Kh,Caution and advice,BuzzFeed
43,Other,Informative (Indirect),Start cleaning up quickly after hurricane flooding to prevent mold. http://t.co/WGgfSimu,Caution and advice,CalorieLab
44,Other,Informative (Indirect),AWWWW RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,camai_
45,Other,Informative (Indirect),LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,Caution and advice,CarolHelf
46,A hurricane warning has been issued or has been lifted,Informative (Indirect),MONSTER STORM SANDY SET TO SLAM NYC AND TRI-STATE REGION: AS HURRICANE SANDY PICKS UP SPEED forecasters say it will slam into New Je...,Caution and advice,CGaye2
47,Other,Informative (Indirect),NYC Hurricane Sandy 2012 Update: Storm to Shut Down City on Tuesday http://t.co/ZS97FeGR,Caution and advice,ChrisJACooper
48,A hurricane sighting has been reported,Informative (Indirect),#BREAKING: #Sandy makes landfall in New Jersey. #NJ http://t.co/oxTN1BKB,Caution and advice,CirocBoyNick
49,Other,Informative (Indirect),Sandy to cause 'record extreme coastal flooding' http://t.co/KHls8eDj via @AsburyParkPress,Caution and advice,colleen52390759
50,Other,Informative (Indirect),Sandy: East coast braces for hurricane ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã¢â‚¬â€œlife-threateningÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â» storm surge http://t.co/zD0IJNRA,Caution and advice,conquilia
51,Other,Informative (Indirect),LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,Caution and advice,Cubfnatic
52,A hurricane sighting has been reported,Informative (Indirect),JFK recorded a wind gust to 66mph at 1:36pm. Just short of hurricane force. Still 8-10hrs from landfall. http://t.co/4Cswv26R #Sandy,Caution and advice,DanaGalColeman
53,A shelter is open or available,Informative (Indirect),NYC ALERT: ALL evacuation shelters are pet friendly - don't leave your pets behind! http://t.co/Xs6MngZp #SANDY #sandypets,Caution and advice,Daneeo1985
54,Other,Informative (Indirect),Hurricane #Sandy shaping up as record-breaking storm. http://t.co/SrOGBdL4,Caution and advice,DanTRusu
55,Other,Informative (Indirect),Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/wl7rGW1H.,Caution and advice,DareIBuild
