,type_of_advice_or_caution,category,text,screenname
0,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny, guess what? Tornado warning #FUCKTOLEDOOHIO",1stJoshRobinson
1,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,BadAssNigerian
2,A shelter is open or available,Caution and advice, @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,DAWNOFNEWDAYS
3,A tornado sighting/touchdown has been reported,Caution and advice,Almyra Arkansas tornado about to hit the ground,BelleTwigg
4,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,DJRyanScott
5,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado watch canceled for Douglas County, Coles County, & Moultrie County",willpublicmedia
6,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,vanjo57
7,Other,Caution and advice,At mssu for memorial service. #Joplin #superwindy,hannahrandolph7
8,Other,Caution and advice,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,Nicogalindo7
9,A tornado sighting/touchdown has been reported,Caution and advice,Tornado headed toward us.... we're closing down for a while ...,JockMed
10,A tornado sighting/touchdown has been reported,Caution and advice,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,LadiesLoveLoTTi
11,Other,Caution and advice,"Tornado watch and already thunder, lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado",metalchick73
12,A tornado sighting/touchdown has been reported,Caution and advice," @rachelcaine: Tornado on the ground less than 5 miles away, guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.",HappyTwilighter
13,A tornado sighting/touchdown has been reported,Caution and advice,Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,FozzieDBear
14,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,Mozbe
15,A tornado sighting/touchdown has been reported,Caution and advice,"Possible #tornado on the ground near Ohio City, #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.",weathertrek
16,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning. #FML,andr3scamilo
17,Other,Caution and advice,"@BeccasOnTweeter Girl, you are tornado watching too much! If you need to, get to safety, OK!!",KimberlyIsHere
