,people_or_infrastructure,category,text,screenname
0,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,"My house was blown away by a tornado, but a famous person just 'd something about my town. Who needs a house?",IvanTheTurrible
1,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,DanielCrane81
2,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,Tornado is gone and woman is assessing the damage to her house and still can barely stand because of the wind.,Jethro_Aryeh
3,Not specified (maybe people or infrastructure),Casualties and damage, @WISCTV_News3: Weather Service Confirms to News 3 an EF1 Tornado did damage in Verona. We'll have more details online shortly.,akcanwjanitor
4,Not specified (maybe people or infrastructure),Casualties and damage,"After hearing the tornado sirens, Pastor Daniel just told all the staff to go hide downstairs... before leaving in his tiny red car...",ChristopherAbel
5,Not specified (maybe people or infrastructure),Casualties and damage,Driving.. it appears my area got hit the worst. Tornado in my backyard.. Next street over shut down w/ fire trucks and caution tape..,DJSCUFFS
6,Not specified (maybe people or infrastructure),Casualties and damage, @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,emilyroseartist
7,Not specified (maybe people or infrastructure),Casualties and damage,"We just passed some major tornado damage in Birmingham, AL",badenusf
8,People: dead,Casualties and damage," @stefkienstra: JOPLIN -- Gov. Jay Nixon announces zero people missing, 134 reported deceased. #JoplinTornado",rschallom
9,People: dead,Casualties and damage," @BreakingNews: Watch live: Memorial service for tornado victims in Joplin, Mo. http://on.msnbc.com/kpdG7A",JD_Gaffle
10,Not specified (maybe people or infrastructure),Casualties and damage," @EKaiserReuters: ""Joplin looked like some of the battles I saw in Korea,"" Korean war veteran and Missouri #tornado survivor says: htt ...",Geoje_Party
11,Not damage-related,Casualties and damage,@RealWizKhalifa tornado just hit my town and the sky is #Black&Yellow so now have the song stuck in my head,SwaggernautBen
12,Not damage-related,Casualties and damage,Full list of missing persons in #Joplin that was released this morning... http://bit.ly/mwwNIs,KyleeCoffman
13,People: dead,Casualties and damage,RIP to the people that died in  the springfeild tornado &lt;3333Ã¢â„¢Â¥Ã¢â„¢Â¥,Chenoa_F
14,Not damage-related,Casualties and damage,If everything is where you left it earlier...you're blessed #prayforjoplin #joplin,meetjuliet
15,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,lhwhitmire
16,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,Mateus_7_6
17,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage,"Client responded to a billing statement saying their bldg had been destroyed in a tornado and they lost a few invoices. Wow, awful!",sydneywilliams
18,Not specified (maybe people or infrastructure),Casualties and damage, @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,JB_Lover866
19,People: dead,Casualties and damage,Pray forÃ‚Â #Joplin. At least 89 dead & severe T-storms headed their way. The front dipped below us in Springfield last night.,EvangelMag
20,People: dead,Casualties and damage," @stormchaser4850: Edmond, OK woman dies in car accident while driving to beat tornado http://bit.ly/kWzV3x",Youxia88
21,Not specified (maybe people or infrastructure),Casualties and damage,"SHOCKING PHOTOGRAPHIC  account of the tornado devastation in Joplin, Missouri... Like a second hometown to me.",
22,Not specified (maybe people or infrastructure),Casualties and damage,Eqecat predicts Joplin Tornado damage between $1-3 billion. Take a look at the radar image of the twister: http://goo.gl/vyMmc,jasonthistle
23,People: dead,Casualties and damage," @BBCWorld: US authorities confirm at least 89 killed after massive #tornado hits Joplin, southwest Missouri",sorandom
24,Not specified (maybe people or infrastructure),Casualties and damage," @txstormchasers: UNCONFIRMED reports out of #Springfield , MA from police scanner traffic of a neighborhood wiped out and numerous in ...",beachcoaststyle
25,"Infrastructure (building, bridge, road, etc.) damaged",Casualties and damage, @MsSavBee:  @KSTP: Damage from Mpls. #Tornado Estimated at $166M http://ow.ly/51VB4,ray331
