,intention,type_of_donation,category,text,screenname
0,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services", @TippingPointSEO: please follow my friends @RebuildJoplinMO They do a great job at providing valuable info for donors and victims of  ...,ABC_Plastics
1,Reports that something has been donated/provided/given/done,"Other, or not specified","Donations of money, goods or services", @ztdrew78: Heading to #joplin wit the #jimbakkershow to help the #tornado victims... Help us #jesus !,LegendofJames
2,Invites/asks people to donate/provide/give/do something,Blood,"Donations of money, goods or services"," @kcredcross: Holding emergency blood drive from 2-7 p.m. at GKC Chapter, 211 W. Armour Blvd., KCMO. Join us in helping Joplin. #joplin",kim_hodo
3,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services"," @Kanrocksas: Help #Joplin Mo & Reading, Ks  PLS    @kcredcross To support text REDCROSS to 90999 or visit redcross.org",knsstxs
4,Reports that something has been donated/provided/given/done,Money,"Donations of money, goods or services","Last tweet I promise, my good friend is funding relief in #joplin MO with her #Scentsy biz. http://j.mp/jc6LdX wanted to help share that .)",ChristyHomeMom
5,Invites/asks people to donate/provide/give/do something,Volunteers/work,"Donations of money, goods or services", @DaneMiodov helping a family hit by tornado. 5310 S Western come join us/ look for the orange tshirt by the driveway on west side of road,codychaloner
6,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services"," @BFleschman: @kurt13warner a friend who lost everything in recent tornado in Joplin, MO. Please donate to www.joplintornadoreliefforb ...",theresamax
7,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services", @BlaineGabbert: Everyone please take a minute to check out a great project I've started for all the tornado victims. http://tinyurl.c ...,Byramerica
8,Reports that something has been donated/provided/given/done,"Other, or not specified","Donations of money, goods or services",@asaHQ that's a great initiative to support #Joplin! Hats off to you & @getsomegreek.,nicfraternity
9,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services",Please submit your #okhelp and #okneed on our Crowdmap: http://oktornado.crowdmap.com/reports/submit #oktornado #okwx Please ,okicemap
10,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services"," @docmisterio: Hey #STL, I'm putting together a music sampler for #Joplin called #SongsForJoplin. Want to help promote? Help some othe ...",sarahcnewberry
11,Reports that something has been donated/provided/given/done,"Other, or not specified","Donations of money, goods or services",Invacare helping disabled tornado survivors http://tf.to/sYf9,clevelandnews1
12,Invites/asks people to donate/provide/give/do something,Money,"Donations of money, goods or services"," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",baabybre
13,Reports that something has been donated/provided/given/done,"Other, or not specified","Donations of money, goods or services"," @tpmedia: Tornado survivors in Joplin, Mo., will be getting quilts from shop in Victor http://t.co/TvLmg4j",KatieBea
14,Invites/asks people to donate/provide/give/do something,Volunteers/work,"Donations of money, goods or services", @rqskye: #MONeeds #Volunteers City DistCtr to form teams we are sending into the area to help people with clean up. Open every day 9a ...,NancyArmstrongT
15,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services"," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",gaylapxoxo
16,Invites/asks people to donate/provide/give/do something,"Other, or not specified","Donations of money, goods or services","@joelieberman #99ers are the same as #tornado victims; the destruction of our lives is just as bad, only slower. PLEASE: #JOBS & #HR589",RCdeWinter
17,Invites/asks people to donate/provide/give/do something,Money,"Donations of money, goods or services"," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",McKayBuzz
18,Reports that something has been donated/provided/given/done,Volunteers/work,"Donations of money, goods or services", @EmWelsh36: Alabama tornado relief in 101* heat. So rewarding. Not your average Saturday. #volunteering #stormtroopers @chrisnunn htt ...,chrisnunn
