,type_of_message,category,text_no_rt,type,user
0,None of the above,Informative (Direct or Indirect),checked the news. yes there is schol tomoro. sandy was a weak ass bitch,Information Source,BrandoCummando
1,Look at this photo or these photos,Informative (Direct or Indirect),Hurricane #Sandy hits NYC hard with intense winds #Frankenstorm http://t.co/j6I531we,Information Source,davidfig79
2,None of the above,Informative (Direct or Indirect),Mayor Bloomberg holding press conference LIVE now on #Sandy aftermath.,Information Source,HurricSandyNews
3,Look at this video or these videos,Informative (Direct or Indirect),RT @mrspantsworth: Statue of Liberty Torchcam - gives you some idea of the force of #sandy http://t.co/eofIJ7Fe,Information Source,loloster
4,Look at this web site/page,Informative (Direct),even the rats left town RT @YGNw: Eery images from the empty #NYC subways http://t.co/eCGqw1ek #sandy,Information Source,dc_fusion
5,None of the above,Informative (Direct),BEST LIVE updates on the unfolding Hurricane Sandy situation in NYC follow live tweeting from the scene!,Information Source,DowagerDuchessR
6,Look at this photo or these photos,Informative (Direct),Photos of the unbelievable scenes left in #Hurricane #Sandy's wake http://t.co/09U9L5rW #NYC #NJ,Information Source,Englishmuffin10
7,Look at this web site/page,Informative (Direct),An inside look at NYU hospital's near disaster amid #Sandy by @DrLaPook http://t.co/DkPjVctS,Information Source,joeperrone
8,Look at this photo or these photos,Informative (Direct),Possibly one of the most amazing things I've ever seen. #TombOfTheUnknownSoldier #Sandy http://t.co/MiGmwQRs,Information Source,KMertzzz
9,Look at this photo or these photos,Informative (Direct),Real time instagram pics of the #Sandy happenings in NYC ! http://t.co/wd2zww1M via @konbini,Information Source,Lolakakon
10,Look at this video or these videos,Informative (Direct),I uploaded a @YouTube video http://t.co/kRWlHaXN MW3 :: Hurricane Sandy | Kill Confirmed,Information Source,PyroXL
11,Look at this photo or these photos,Informative (Direct),This is by far one of the most ominous shots from NYC! Good luck friends and family. God speed folks! #sandy http://t.co/hpANdaW2,Information Source,TheToddHarris
12,Look at this video or these videos,Informative (Indirect),Watch Hurricane #Sandy prowling the East Coast up to the morning in a timelapse video of satellite images. http://t.co/4C78dm5H,Information Source,_KieranJD_
13,Watch this TV channel (or: I am watching this channel),Informative (Indirect),LIVE: US President @barackobama arrives in Atlantic City New Jersey to inspect damage caused by#Sandy http://t.co/H9FXzHLQ,Information Source,AllisonGolds
14,Look at this photo or these photos,Informative (Indirect),In Pictures: Recovery starts after deadly storm Sandy http://t.co/1UE9LQWw,Information Source,anummedia
15,Look at this web site/page,Informative (Indirect),Photos: The Hurricane Sandy Aftermath: She came she saw she destroyed. http://t.co/AyEyfY4k #Sandy #P2 #Weather,Information Source,arundevkr
16,Look at this photo or these photos,Informative (Indirect),This tanker was washed onto Staten Island's shore by #Sandy! Incredible photo: http://t.co/RyS0MRH5 More here: http://t.co/FXYaYjIb,Information Source,bianca_lutai
17,None of the above,Informative (Indirect),BREAKING: Governor to give #Sandy briefing at 11:15am at #NYC office,Information Source,CapitalTonight
18,Look at this photo or these photos,Informative (Indirect),Sandy Pic: Tomb of the Unknown Soldier http://t.co/r25PQ3lT via @sharethis #blesstheUSA,Information Source,ChrisMader30
19,Look at this photo or these photos,Informative (Indirect),Statue of Liberty preps for the arrival of #Sandy. #NYC (don't know origin of pic) http://t.co/ZYbZo5Re,Information Source,ChuckyT3
20,Look at this web site/page,Informative (Indirect),RT @usefularts: Have you seen @google's storm data tracking map? Adding time lapse for context would be nice http://t.co/PXvVbOv4 #ddj #data,Information Source,ConsultRamy
21,Look at this web site/page,Informative (Indirect),"But... RT @thinkprogress: Bush's FEMA director Scott Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/xZgyzZzO",Information Source,CrwnedVic
22,Look at this photo or these photos,Informative (Indirect),ÌÄ®ÕÌâå_ÌÄ®ÕÌâå_ÌÄ®ÕÌâåÂ@MTV: What the flood?! 10 photos of NYC hurricane aftermath: http://t.co/1tslqlAn #SandySucksÌÄ®ÕÌâå_ÌÄ®ÕÌâå_ÌÄ‰Û_Ìâå holy shit... So sad_ÌÄ®ÕÌâå«ÌÄ®ÕÌ¢‰âÂ‰ÛÏÌÄ‰Û_Ì¢‰âÂÁ,Information Source,csughrue
23,Look at this video or these videos,Informative (Indirect),4 great live streaming webcams from Fager's Island in Ocean City MD as #Sandy moves in http://t.co/AvdeDZIU,Information Source,Dennix30
24,Look at this web site/page,Informative (Indirect),The Science of Hurricane Sandy Liveblog http://t.co/Beub7P3E,Information Source,DeobandTablighi
