,type_of_message,category,text,screenname
0,None of the above,Information source,@fox12weather re: tornado. I live in Vancouver. That must be why I heard thunder (or a freight train) around that time this afternoon.,jenr8rluvsJesus
1,Look at this video or these videos,Information source,Incredible video: #Tornado tears through Oklahoma: http://fxn.ws/jqECzA,foxnewsvideo
2,None of the above,Information source,"Obama visits tornado-ravaged Joplin; renamed hospital reopens: President Barack Obama visited tattered Joplin, M... http://bit.ly/iexppM",Patricabhg
3,Look at this web site/page,Information source, @lindaperrybarr: Hi everyone! Want to share http://bit.ly/l3MxtA @BrianStelter's tumbler on using twitter to cover #Joplin and lesson ...,SocialMichelleR
4,Look at this video or these videos,Information source, @txstormchasers: Heading south on the DNT at Eldorado. Going to have to core the huge hail core. LIVE VIDEO - http://tinyurl.com/22sa ...,mcontrerasjr
5,Look at this video or these videos,Information source, @jasonboyett: This footage of the Mass. tornado sucking up water from the Connecticut River is ridiculously terrifying: http://yhoo.i ...,Pinkdaisyjane
6,None of the above,Information source,"My cop friend volunteered in #Joplin last wknd; she said people are driving there from Ark., Ill. & Cal. to loot! #despicable",sagourd
7,Look at this web site/page,Information source," @TIME: This dog was sucked up by a tornado, but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed)",cellblockrach
8,None of the above,Information source,Back at my desk after the tornado warning. That was fun. #sarcasm #thingsyoudontsayinNYC,JustSayKB
9,Look at this video or these videos,Information source,"I just uploaded ""VIOLENT Dibble/Washington/Goldsby Tornado! May 24, 2011"" on Vimeo: http://vimeo.com/24290944",ChrisSnr
10,None of the above,Information source," @CygnetUpdates:  @mediaphish: If you are working in the city of #joplin and need a hot meal, the Humphrey's family at 310 N Wall ha ...",goMarielle
11,Watch this TV channel (or: I am watching this channel),Information source,Watching NBC News coverage from #Joplin. Sad to see the lives torn apart by this disaster. Thoughts continue to be with you. #MIZforJOPLIN,CaseCarp
12,Look at this photo or these photos,Information source, @Cassandralea: Before and after photos of #joplin ... WOW http://t.co/wxe7i5B,JackiYo
13,Look at this web site/page,Information source,Dayton requests disaster declaration after tornado http://dlvr.it/TGCDN,jessiebur
14,None of the above,Information source,had to stay in school for an extra hour because of a tornado warning and that was fun,KotaBear44
15,Look at this web site/page,Information source,Back by the #Joplin hospital now. Even more eerie-looking at night. http://instagr.am/p/EpMkz/,brianstelter
16,Look at this photo or these photos,Information source, @Daradondo: the tornado  http://twitpic.com/5248yt,ShantaFabulous
